evaluation-id,student1,student2,category,value
2,1,4,C,3
2,1,4,I,2
2,1,4,K,5
2,1,4,E,4
2,1,4,H,3
2,4,1,C,5
2,4,1,I,1
2,4,1,K,4
2,4,1,E,1
2,4,1,H,4
2,3,2,C,3
2,3,2,I,4
2,3,2,K,4
2,3,2,E,5
2,3,2,H,5
2,2,3,C,2
2,2,3,I,1
2,2,3,K,5
2,2,3,E,5
2,2,3,H,2
5,6,3,C,3
5,6,3,I,5
5,6,3,K,4
5,6,3,E,4
5,6,3,H,3
6,5,3,C,1
6,5,3,I,5
6,5,3,K,4
6,5,3,E,3
6,5,3,H,4
7,8,3,C,1
7,8,3,I,1
7,8,3,K,3
7,8,3,E,5
7,8,3,H,3
8,7,3,C,2
8,7,3,I,1
8,7,3,K,4
8,7,3,E,5
8,7,3,H,2
9,10,3,C,4
9,10,3,I,3
9,10,3,K,4
9,10,3,E,1
9,10,3,H,5
10,9,3,C,2
10,9,3,I,4
10,9,3,K,2
10,9,3,E,4
10,9,3,H,5
